claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,past_num_of_claims,witness_present_ind,liab_prct,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_price,vehicle_weight,fraud,claim_year,claim_day,latitude,longitude,state,claim_day_monday,claim_day_saturday,claim_day_sunday,claim_day_thursday,claim_day_tuesday,claim_day_wednesday,accident_site_local,accident_site_parking_lot,channel_online,channel_phone,vehicle_category_large,vehicle_category_medium,vehicle_color_blue,vehicle_color_gray,vehicle_color_other,vehicle_color_red,vehicle_color_silver,vehicle_color_white,claim_month_august,claim_month_december,claim_month_february,claim_month_january,claim_month_july,claim_month_june,claim_month_march,claim_month_may,claim_month_november,claim_month_october,claim_month_september,Unem_rate
6891,64,M,1,83,41600,1,1,Own,50052,4/29/2015,0,0,86,1,7556.599601,4,8099.054494,17397.6233,0,2015,29,40.63,-93.45,IA,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
6892,40,F,1,66,36907,1,0,Own,80031,5/11/2015,0,0,5,0,2780.695068,5,10947.78456,34015.01326,0,2015,11,39.88,-105.05,CO,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
6894,43,F,1,84,37627,0,1,Own,15009,3/5/2016,2,0,77,1,2527.430382,3,29771.21573,15045.74721,0,2016,5,40.69,-80.3,PA,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.3
6896,48,M,1,66,38723,1,0,Own,80002,1/7/2015,0,0,5,0,4098.558406,3,4269.840495,11807.14555,0,2015,7,39.79,-105.11,CO,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.3
6898,58,F,1,74,40611,0,1,Rent,15038,7/31/2016,0,0,72,0,5560.537746,3,23986.73585,15716.69416,0,2016,31,40.25,-79.93,PA,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.5
6899,34,M,1,48,35262,1,1,Own,15035,10/29/2016,2,0,50,1,5166.619115,4,12074.5477,11740.48908,1,2016,29,40.38,-79.81,PA,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.5
6904,36,F,1,61,35825,1,1,Own,85005,2/21/2016,2,0,29,1,7454.673683,4,9675.052979,17961.92255,0,2016,21,33.44,-112.12,AZ,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.6
6906,49,M,1,92,38936,0,1,Own,15012,4/3/2015,0,0,50,1,2796.004852,6,31831.74194,45332.37283,0,2015,3,40.12,-79.86,PA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4
6908,52,F,1,84,39512,1,0,Own,80019,8/5/2016,1,0,54,0,5956.610547,11,30300.9258,39447.27529,0,2016,5,39.79,-104.7,CO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.3
6910,46,M,0,83,38287,1,1,Own,15027,4/8/2015,0,0,5,1,2678.61479,5,30171.73263,23585.24175,0,2015,8,40.66,-80.24,PA,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
6911,56,M,1,83,40256,1,1,Rent,20120,2/29/2016,0,0,74,1,5339.114663,5,17419.68188,31311.71911,1,2016,29,38.84,-77.44,VA,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
6912,29,M,1,84,33666,1,1,Rent,85001,11/23/2016,2,0,50,1,3459.293354,1,44980.38577,18679.67672,0,2016,23,33.45,-112.06,AZ,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.2
6913,23,M,0,91,31342,1,1,Own,15050,7/14/2016,0,1,58,1,3632.998738,5,27481.16806,37995.73531,0,2016,14,40.59,-80.47,PA,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.5
6915,40,M,0,89,36899,1,1,Rent,80025,8/10/2016,0,0,90,0,3564.582945,4,32990.46779,14178.50158,1,2016,10,39.94,-105.28,CO,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.3
6917,30,F,1,61,34010,1,1,Own,85045,3/26/2016,0,0,59,1,5674.375481,5,13273.678,15591.41176,0,2016,26,33.3,-112.1,AZ,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.5
6921,62,M,1,58,41261,1,1,Own,50044,8/20/2015,1,1,94,0,6310.679539,3,9595.620225,23316.00745,0,2015,20,41.2,-92.88,IA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3.7
6922,44,F,1,89,37851,1,0,Own,80022,1/2/2015,0,0,54,1,3390.827061,3,46209.36842,29650.71843,0,2015,2,39.88,-104.8,CO,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4.3
6923,35,M,1,61,35547,0,0,Rent,20109,7/26/2015,0,0,98,1,3452.659988,4,19526.45371,25982.81127,0,2015,26,38.79,-77.53,VA,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.4
6925,25,F,1,76,32178,1,0,Own,85071,12/2/2015,1,1,40,1,6180.987709,8,25562.63951,15637.36257,0,2015,2,33.59,-112.11,AZ,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.7
6927,27,F,1,91,32938,1,1,Rent,15014,7/4/2016,0,1,50,0,2528.566434,2,5829.751396,25906.09015,0,2016,4,40.61,-79.74,PA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.5
6928,49,M,1,53,38920,0,1,Rent,15056,5/6/2016,0,1,98,0,14027.90658,6,21903.15703,10196.05102,0,2016,6,40.56,-80.21,PA,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.4
6929,33,M,1,92,34964,1,1,Rent,50021,4/7/2016,0,0,20,0,1471.264199,3,8239.262757,31347.61669,0,2016,7,41.72,-93.6,IA,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6
6931,55,M,0,79,40064,1,0,Own,80030,4/10/2015,0,0,73,0,5329.189622,7,16654.34592,6222.619925,0,2015,10,39.83,-105.04,CO,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
6933,52,F,1,98,39517,0,0,Own,85011,9/27/2016,0,0,60,1,4180.201008,8,14062.45151,34971.82972,0,2016,27,33.5,-112.05,AZ,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2
6934,44,M,1,90,37830,1,0,Own,85072,5/28/2015,1,0,71,1,1564.66934,9,23565.84691,8004.833601,0,2015,28,33.45,-112.01,AZ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.1
6935,54,M,1,85,39873,1,1,Own,85041,8/14/2016,0,0,50,0,2587.57668,7,16593.65896,26664.99908,0,2016,14,33.38,-112.11,AZ,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.3
6936,50,M,1,80,39131,1,0,Own,20139,11/1/2016,1,0,0,1,8207.475638,6,11233.51476,6468.488024,0,2016,1,38.66,-77.7,VA,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.1
6937,49,M,1,72,38914,1,1,Rent,80003,7/4/2015,0,0,4,1,4193.116973,3,10805.88975,9221.050383,0,2015,4,39.83,-105.06,CO,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.8
6938,39,M,1,74,36646,1,0,Rent,20165,7/18/2016,0,0,10,0,4436.625238,3,11587.82109,17425.6536,0,2016,18,39.06,-77.39,VA,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.1
6940,24,F,0,65,31800,1,1,Rent,85030,7/18/2016,0,1,95,0,5653.114799,5,23348.34786,29746.60771,0,2016,18,33.45,-112.07,AZ,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.3
6942,51,M,1,83,39311,1,0,Rent,80030,7/25/2015,0,0,100,1,10605.23767,2,14947.91147,39279.96321,0,2015,25,39.83,-105.04,CO,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.8
6943,44,M,1,80,37858,1,0,Own,20120,1/10/2016,0,1,32,1,2700.38966,7,29985.90389,19164.63868,0,2016,10,38.84,-77.44,VA,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.1
6945,38,F,1,58,36378,1,1,Rent,85002,4/30/2016,0,1,57,0,3131.599236,6,32269.63568,20730.37337,0,2016,30,33.45,-112.06,AZ,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.5
6946,74,F,1,65,43032,0,0,Rent,50023,9/17/2015,1,0,83,0,4527.483828,8,5044.675727,18416.79978,0,2015,17,41.71,-93.62,IA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.7
6947,45,M,1,74,38069,0,0,Rent,20130,8/26/2016,0,1,49,0,5327.553706,6,9474.994082,25332.54783,0,2016,26,39,-77.95,VA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.2
6949,50,M,1,82,39133,0,0,Rent,85033,3/17/2016,0,0,68,1,3312.413296,5,13862.29909,11406.07679,0,2016,17,33.49,-112.21,AZ,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.5
6954,46,F,1,87,38285,1,0,Own,50013,7/2/2016,1,0,6,1,8321.035895,8,22331.17431,28308.46105,1,2016,2,42.02,-93.62,IA,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7
6956,21,F,1,92,30450,1,0,Rent,50003,1/19/2016,2,0,21,0,3199.60502,9,19441.30455,15020.75726,0,2016,19,41.61,-94.02,IA,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.6
6957,74,M,0,78,43042,1,0,Rent,15001,4/30/2016,0,0,59,0,4977.723815,4,39334.2765,13626.4716,0,2016,30,40.61,-80.25,PA,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
6958,42,M,1,31,37392,1,0,Own,50009,5/1/2015,2,0,12,1,5625.301932,8,13157.33008,19166.27808,1,2015,1,41.65,-93.47,IA,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.8
6959,52,F,0,93,39507,1,1,Own,80010,5/21/2015,0,0,14,0,8902.278348,3,18166.75967,14900.30153,0,2015,21,39.74,-104.86,CO,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4
6960,33,M,1,92,34968,1,1,Rent,85017,5/24/2015,0,0,7,1,2913.783566,5,26070.94253,32168.7854,0,2015,24,33.5,-112.12,AZ,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.1
6962,66,F,1,34,41896,1,1,Own,50054,8/13/2016,0,0,40,0,4866.578199,6,18688.21436,24322.74799,0,2016,13,41.67,-93.24,IA,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.6
6963,60,F,1,58,40952,0,0,Own,20135,12/4/2015,1,0,1,0,1904.140166,7,16772.3047,20033.70832,0,2015,4,39.11,-77.83,VA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.1
6966,48,F,1,52,38725,0,1,Rent,85050,7/16/2016,0,0,100,1,3792.191664,6,5531.573191,24952.14007,0,2016,16,33.69,-112,AZ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.3
6967,49,F,1,86,38923,1,0,Rent,50036,6/25/2015,0,0,34,1,2999.1249,9,42468.90312,46471.28256,0,2015,25,42.05,-93.87,IA,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.8
6968,37,M,1,71,36106,0,1,Own,15026,8/14/2015,0,1,50,1,3704.790047,1,21558.48278,15531.18624,0,2015,14,40.51,-80.34,PA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.2
6971,64,F,0,67,41581,1,1,Rent,20156,10/4/2016,0,1,88,1,2256.687793,3,25282.54509,43362.47513,0,2016,4,38.79,-77.61,VA,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2
6972,37,M,1,71,36122,1,0,Own,80011,5/10/2015,0,0,37,0,4801.935209,8,12054.4121,8117.749275,0,2015,10,39.74,-104.78,CO,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4
6974,53,F,1,80,39693,1,1,Own,80014,5/12/2016,0,0,31,0,6906.958535,4,10993.84614,15982.39799,1,2016,12,39.66,-104.84,CO,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.4
6975,28,M,1,66,33327,1,1,Rent,80002,7/8/2016,2,0,26,1,4555.245789,5,10737.57794,20293.75269,0,2016,8,39.79,-105.11,CO,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.3
6976,50,M,1,80,39106,0,1,Own,85029,1/6/2016,2,0,97,0,6218.119507,5,34903.51311,24118.04759,0,2016,6,33.59,-112.1,AZ,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.7
6979,43,F,0,68,37623,1,1,Own,80017,9/4/2015,0,0,19,1,5052.602524,2,29677.40926,26434.39098,0,2015,4,39.7,-104.79,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.7
6980,29,M,1,74,33659,1,0,Rent,20109,2/3/2016,1,0,4,0,8092.033775,7,39503.33152,12112.12632,0,2016,3,38.79,-77.53,VA,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
6982,33,F,0,70,34971,0,1,Rent,15009,3/9/2015,0,1,82,1,3512.235838,1,25085.70055,31001.58769,0,2015,9,40.69,-80.3,PA,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.4
6983,48,F,1,42,38702,1,1,Own,85021,2/22/2015,0,0,29,0,7269.720373,4,23994.81479,32485.19626,0,2015,22,33.55,-112.09,AZ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3
6984,41,F,1,77,37127,1,0,Rent,80040,10/15/2016,0,0,44,1,4008.332832,3,15969.0248,32643.4131,0,2016,15,39.69,-104.81,CO,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.1
6985,31,M,0,60,34327,1,0,Own,20153,3/19/2015,0,0,77,0,7151.592773,4,11573.22419,15660.21252,0,2015,19,38.87,-77.4,VA,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.8
6986,39,M,1,76,36636,1,1,Own,85077,6/10/2015,0,0,13,1,9941.763008,8,17620.16305,5217.133613,0,2015,10,33.45,-111.97,AZ,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
6987,44,M,1,94,37825,1,1,Rent,20165,6/30/2016,0,0,79,1,4722.037455,3,9410.639941,27728.11847,0,2016,30,39.06,-77.39,VA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.1
6990,40,M,1,64,36898,1,1,Own,85077,4/21/2015,0,0,0,1,5811.14924,3,36941.67565,17742.71576,0,2015,21,33.45,-111.97,AZ,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.2
6991,42,F,1,80,37378,0,0,Rent,15004,5/23/2016,0,0,70,1,4812.391706,4,20643.13015,26522.69912,0,2016,23,40.35,-80.38,PA,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.4
6992,32,F,1,35,34655,1,1,Own,20160,12/14/2016,4,1,50,1,6984.598542,4,22094.08407,26626.45525,0,2016,14,39.11,-77.69,VA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.1
6993,51,F,1,75,39315,1,0,Own,15052,12/13/2016,1,0,97,1,4613.103149,9,14726.47555,11967.1688,0,2016,13,40.65,-80.4,PA,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.3
6994,34,M,0,59,35280,0,1,Rent,15010,1/11/2016,0,1,99,0,1666.126708,4,50098.14284,30126.05433,0,2016,11,40.76,-80.32,PA,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5.3
6995,58,M,1,49,40603,0,1,Own,50058,3/9/2015,0,0,100,1,5351.299859,9,8373.186104,22765.04017,0,2015,9,41.87,-94.67,IA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.9
6996,43,M,1,69,37623,1,0,Rent,20143,11/22/2016,0,1,56,0,3341.275487,4,22116.37646,22483.43291,0,2016,22,38.84,-77.56,VA,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.1
6998,33,F,1,84,34954,1,0,Own,15022,2/2/2015,0,0,98,0,5769.924473,10,54826.58032,20057.88243,0,2015,2,40.13,-79.9,PA,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5.4
7001,33,M,1,85,34962,1,0,Rent,50040,12/23/2015,0,0,74,1,2129.817363,14,19498.70503,33489.23204,0,2015,23,42.17,-94.1,IA,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3.7
7002,38,M,1,61,36371,1,0,Rent,15060,4/28/2015,0,0,10,0,4719.797092,10,48292.79177,56120.39883,0,2015,28,40.37,-80.29,PA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
7003,30,F,0,82,34004,1,1,Rent,80026,4/28/2015,2,0,41,1,11170.79315,6,16878.8555,34500.53979,0,2015,28,39.99,-105.09,CO,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
7004,29,F,1,85,33684,1,1,Rent,15001,6/5/2015,0,0,1,0,2551.497701,7,19655.15279,46791.19278,0,2015,5,40.61,-80.25,PA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.3
7005,34,F,0,95,35258,1,0,Rent,50028,3/2/2015,1,0,73,0,5592.064109,5,21872.00597,14211.64506,0,2015,2,41.82,-93.15,IA,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.9
7006,43,M,1,81,37608,0,1,Own,80015,1/18/2015,0,0,30,0,2728.4272,8,7887.562331,14530.82928,0,2015,18,39.63,-104.78,CO,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.3
7007,27,F,1,54,32961,0,1,Rent,80014,1/30/2016,1,0,38,1,3900.119659,4,27764.54831,19781.52859,0,2016,30,39.66,-104.84,CO,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.5
7008,48,F,1,86,38693,1,1,Own,20113,12/30/2015,0,0,19,0,4357.748965,5,13007.15332,23017.90947,0,2015,30,38.74,-77.48,VA,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.1
7011,37,F,1,62,36103,1,1,Rent,85034,9/12/2016,0,1,100,0,4924.192361,6,5653.078276,21738.89779,0,2016,12,33.43,-112.01,AZ,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.2
7013,54,M,1,64,39875,1,1,Own,85027,9/22/2015,0,0,64,1,3357.579335,5,31826.39542,8418.26935,0,2015,22,33.68,-112.09,AZ,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.9
7014,41,M,1,54,37120,0,1,Own,50014,7/14/2015,0,0,94,0,5106.501098,2,23417.15516,12325.09367,0,2015,14,42.05,-93.69,IA,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.7
7016,48,F,1,64,38716,1,1,Own,15025,8/23/2016,0,0,0,1,2969.433806,5,11643.88171,24238.39654,1,2016,23,40.29,-79.88,PA,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5
7018,21,M,1,83,30467,1,1,Rent,50025,3/25/2016,0,1,95,1,7409.331983,4,9551.760704,45554.83557,1,2016,25,41.71,-94.92,IA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.6
7021,59,M,0,82,40766,0,0,Own,50009,1/11/2016,0,0,94,0,5877.133078,3,38827.02897,8271.80556,0,2016,11,41.65,-93.47,IA,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.6
7023,41,F,0,68,37146,0,0,Own,85051,8/15/2016,0,0,46,0,4800.513645,6,42105.94252,17766.76321,1,2016,15,33.55,-112.13,AZ,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.3
7025,40,M,1,80,36902,0,0,Own,50001,12/7/2016,0,0,100,0,5516.332531,7,15074.66604,25399.33097,0,2016,7,41.36,-93.47,IA,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.5
7027,42,M,1,54,37367,1,1,Rent,85038,6/4/2016,0,1,36,1,7782.853798,6,9999.731953,27340.4557,0,2016,4,33.46,-111.98,AZ,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.4
7028,35,M,1,80,35530,1,0,Own,20120,4/21/2016,0,0,11,1,5980.329655,0,11144.57583,12502.5271,0,2016,21,38.84,-77.44,VA,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
7029,55,F,1,94,40082,1,1,Own,85002,6/26/2015,0,0,3,0,2367.541568,7,42297.67835,38337.45408,0,2015,26,33.45,-112.06,AZ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6
7030,34,M,0,62,35261,1,1,Rent,85011,1/22/2015,1,0,3,1,6723.312686,3,12730.54436,8207.691633,0,2015,22,33.5,-112.05,AZ,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.4
7031,35,F,0,72,35553,1,1,Rent,20122,5/16/2015,1,0,100,0,8775.815992,3,17160.07001,16165.59947,1,2015,16,38.84,-77.44,VA,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.6
7032,45,M,0,63,38069,1,1,Rent,20159,6/29/2016,0,0,96,0,3123.883538,5,8163.215791,34077.99287,0,2016,29,39.13,-77.66,VA,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.1
7034,26,M,1,79,32575,1,0,Rent,50041,12/11/2015,0,1,50,0,5071.39924,8,75771.86563,30726.70086,0,2015,11,42.64,-93.25,IA,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.7
7035,44,M,1,81,37844,1,0,Rent,85008,9/22/2016,1,0,35,0,7742.374234,4,14145.11276,16397.69161,0,2016,22,33.46,-111.98,AZ,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2
7036,39,F,1,75,36635,1,0,Rent,80003,4/5/2015,0,0,80,1,4179.899204,3,34633.1701,28751.9468,0,2015,5,39.83,-105.06,CO,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
7037,44,F,0,96,37839,1,0,Rent,20165,10/5/2016,1,0,98,0,3816.840505,4,8362.867102,27556.72712,1,2016,5,39.06,-77.39,VA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.2
7038,41,F,1,65,37140,0,1,Rent,85055,2/14/2015,0,0,0,1,8162.02068,8,32068.69011,26478.9897,0,2015,14,33.45,-111.97,AZ,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6.3
7040,25,M,0,72,32189,1,0,Rent,85055,5/6/2016,0,0,77,1,4940.659354,7,24691.63498,9267.305936,0,2016,6,33.45,-111.97,AZ,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5.4
